dataset,model,cap,method,seed,gates_headline_table
dermmnist,MobileNetV2,L10_G10,danits_lp,1,False
dermmnist,MobileNetV2,L10_G10,danits_lp,2,False
dermmnist,MobileNetV2,L10_G10,danits_lp,3,False
dermmnist,MobileNetV2,L10_G10,danits_lp,4,False
dermmnist,MobileNetV2,L90_G90,danits_lp,1,False
dermmnist,MobileNetV2,L90_G90,danits_lp,2,False
dermmnist,MobileNetV2,L90_G90,danits_lp,3,False
dermmnist,MobileNetV2,L90_G90,danits_lp,4,False
octmnist,MobileNetV2,L10_G10,danits_lp,1,False
octmnist,MobileNetV2,L10_G10,danits_lp,2,False
octmnist,MobileNetV2,L10_G10,danits_lp,3,False
octmnist,MobileNetV2,L10_G10,danits_lp,4,False
octmnist,MobileNetV2,L60_G60,danits_lp,1,False
octmnist,MobileNetV2,L60_G60,danits_lp,2,False
octmnist,MobileNetV2,L60_G60,danits_lp,3,False
octmnist,MobileNetV2,L60_G60,danits_lp,4,False
octmnist,MobileNetV2,L90_G90,danits_lp,1,False
octmnist,MobileNetV2,L90_G90,danits_lp,2,False
octmnist,MobileNetV2,L90_G90,danits_lp,3,False
octmnist,MobileNetV2,L90_G90,danits_lp,4,False
tissuemnist,MobileNetV2,L10_G10,danits_lp,1,False
tissuemnist,MobileNetV2,L10_G10,danits_lp,2,False
tissuemnist,MobileNetV2,L10_G10,danits_lp,3,False
tissuemnist,MobileNetV2,L10_G10,danits_lp,4,False
tissuemnist,MobileNetV2,L90_G90,danits_lp,1,False
tissuemnist,MobileNetV2,L90_G90,danits_lp,2,False
tissuemnist,MobileNetV2,L90_G90,danits_lp,3,False
tissuemnist,MobileNetV2,L90_G90,danits_lp,4,False
dermmnist,MobileNetV2,L10_G10,fioretto_alm,1,False
dermmnist,MobileNetV2,L10_G10,fioretto_alm,2,False
dermmnist,MobileNetV2,L10_G10,fioretto_alm,3,False
dermmnist,MobileNetV2,L10_G10,fioretto_alm,4,False
dermmnist,MobileNetV2,L20_G20,fioretto_alm,1,False
dermmnist,MobileNetV2,L20_G20,fioretto_alm,2,False
dermmnist,MobileNetV2,L20_G20,fioretto_alm,3,False
dermmnist,MobileNetV2,L20_G20,fioretto_alm,4,False
dermmnist,MobileNetV2,L30_G30,fioretto_alm,1,True
dermmnist,MobileNetV2,L30_G30,fioretto_alm,2,True
dermmnist,MobileNetV2,L30_G30,fioretto_alm,3,True
dermmnist,MobileNetV2,L30_G30,fioretto_alm,4,True
dermmnist,MobileNetV2,L40_G40,fioretto_alm,1,False
dermmnist,MobileNetV2,L40_G40,fioretto_alm,2,False
dermmnist,MobileNetV2,L40_G40,fioretto_alm,3,False
dermmnist,MobileNetV2,L40_G40,fioretto_alm,4,False
dermmnist,MobileNetV2,L50_G50,fioretto_alm,1,True
dermmnist,MobileNetV2,L50_G50,fioretto_alm,2,True
