dataset,constraint_tag,method,n_cells
tissuemnist,L30_G30,heuristic,42
tissuemnist,L30_G30,hounie_rcl,44
tissuemnist,L30_G30,tralo,87
tissuemnist,L30_G50,danits_lp,4
tissuemnist,L30_G50,fioretto_ldf,4
tissuemnist,L30_G50,heuristic,4
tissuemnist,L30_G50,hounie_rcl,4
tissuemnist,L30_G50,tralo,4
tissuemnist,L30_G70,danits_lp,4
tissuemnist,L30_G70,fioretto_ldf,4
tissuemnist,L30_G70,heuristic,4
tissuemnist,L30_G70,hounie_rcl,4
tissuemnist,L30_G70,tralo,4
tissuemnist,L30_G80,danits_lp,4
tissuemnist,L30_G80,fioretto_ldf,4
tissuemnist,L30_G80,heuristic,4
tissuemnist,L30_G80,hounie_rcl,4
tissuemnist,L30_G80,tralo,4
tissuemnist,L50_G20,danits_lp,4
tissuemnist,L50_G20,fioretto_ldf,4
tissuemnist,L50_G20,heuristic,4
tissuemnist,L50_G20,hounie_rcl,4
tissuemnist,L50_G20,tralo,4
tissuemnist,L50_G30,danits_lp,4
tissuemnist,L50_G30,fioretto_ldf,4
tissuemnist,L50_G30,heuristic,4
tissuemnist,L50_G30,hounie_rcl,4
tissuemnist,L50_G30,tralo,4
tissuemnist,L50_G50,danits_lp,36
tissuemnist,L50_G50,fioretto_ldf,44
tissuemnist,L50_G50,heuristic,36
tissuemnist,L50_G50,hounie_rcl,44
tissuemnist,L50_G50,tralo,44
tissuemnist,L50_G70,danits_lp,4
tissuemnist,L50_G70,fioretto_ldf,4
tissuemnist,L50_G70,heuristic,4
tissuemnist,L50_G70,hounie_rcl,4
tissuemnist,L50_G70,tralo,4
tissuemnist,L50_G80,danits_lp,4
tissuemnist,L50_G80,fioretto_ldf,4
tissuemnist,L50_G80,heuristic,4
tissuemnist,L50_G80,hounie_rcl,4
tissuemnist,L50_G80,tralo,4
tissuemnist,L70_G20,danits_lp,4
tissuemnist,L70_G20,fioretto_ldf,4
tissuemnist,L70_G20,heuristic,4
tissuemnist,L70_G20,hounie_rcl,4
tissuemnist,L70_G20,tralo,4
tissuemnist,L70_G30,danits_lp,4
tissuemnist,L70_G30,fioretto_ldf,4
tissuemnist,L70_G30,heuristic,4
tissuemnist,L70_G30,hounie_rcl,4
tissuemnist,L70_G30,tralo,4
tissuemnist,L70_G50,danits_lp,4
tissuemnist,L70_G50,fioretto_ldf,4
tissuemnist,L70_G50,heuristic,4
tissuemnist,L70_G50,hounie_rcl,4
tissuemnist,L70_G50,tralo,4
tissuemnist,L70_G70,danits_lp,36
tissuemnist,L70_G70,fioretto_ldf,36
